Id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Birth registration funder age 5 2005-2013,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Change mobile usage 2009 2014,Consumer price index 2013,Domestic credit provided by financial sector 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Expected years of schooling - Years,Exports and imports percentage GPD 2013,Female Suicide Rate 100k people,Foreign direct investment net inflows percentage GDP 2013,Forest area percentage of total land area 2012,Fossil fuels percentage of total 2012,Fresh water withdrawals 2005,Gender Inequality Index 2014,General government final consumption expenditure - Annual growth 2005 2013,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross fixed capital formation of GDP 2005-2013,Gross national income GNI per capita - 2011  Dollars,Homeless people due to natural disaster 2005 2014 per million people,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,International student mobility of total tetiary enrolvemnt 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,MaleSuicide Rate 100k people,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Mobile phone subscriptions per 100 people 2014,Natural resource depletion,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population affected by natural desasters average annual per million people 2005-2014,Population living on degraded land Percentage 2010,Population with at least some secondary education percent 2005-2013,Pre-primary 2008-2014,Primary-2008-2014,Primary school dropout rate 2008-2014,Prison population per 100k people,Private capital flows percentage GDP 2013,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Refugees by country of origin,Remittances inflows percentual GDP 2013,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Secondary 2008-2014,Share of seats in parliament percentage held by womand 2014,Stock of immigrants percentage of population 2013,Taxes on income profit and capital gain 205 2013,Tertiary -2008-2014,Total tax revenue of GDP 2005-2013,Tuberculosis rate per thousands 2012,Under-five Mortality 2013 thousands
Trinidad and Tobago,0.771893819,28.53333333,34.805,97,4.496099243,37.18763962,-6.539260485,5.54,120.812086,33.74087439,4.04,16.5,99.8,12.34507333,103.1528,6.2,6.95025,43.85185185,99.93253108,8.76,0.371436093,-0.597660224,9.50726523,39.52285223,29469.35299,9.7485838,26089.9511,0,28.3,19,434,-27.8252,65.1,41.16666667,70.4,20.4,84,10.88346335,147.34,29.31533432,-2.2,11.75,0,8.236260657,59.31815,82.93387,106.09769,10.61263,281,-27.04065817,6.026703358,5.29355,17.57943,0.336,0.5324638,0.067468916,0.04348,85.52195,24.6575342,2.422396881,49.59734804,11.95271,28.2583576,2.1,21.3
Serbia,0.771149777,29.65,16.872,99,2.709606612,6.799114997,21.39213141,-1.82,128.4622384,49.52544413,3.96,8.5,100,14.38712,92.69195,5.8,4.337332,32.10381889,89.08806084,2.54,0.175585707,2.12571896,19.55793478,92.36354531,12892.77704,21.1675582,12190.43399,15.16899702,1.2,5.8,922,-1.23418,53.5,26.2,74.9,19.9,16,10.46026516,122.13,3.911233127,-2.1,21.14,18081.48573,18.5369546,65.6302,58.36443,100.89554,0.78248,142,-9.244542,0.060529999,10.59735,15.15704,48.786,8.837068,11.05965253,0.9868,94.40921,34,5.598619043,7.59578147,56.38088,19.72139285,1.5,6.6
Cuba,0.769011135,47.08333333,43.085,100,1.287815574,3.185683146,44.10637184,308.52,110.494156,81.34224639,3.38,6,100,13.82581,39.09598,4.5,4.879291967,27.61367907,86.7186097,18.26,0.355911775,2.715648976,37.86710322,211.9468631,18796.19252,12.1560213,7301.039053,665.9485732,4.2,5,2829,4.12952,30,46.9,79.4,18.5,80,11.51362,22.48,3.6305722,-2.5,67.23,30624.39062,16.97609076,76.53,98.34956,97.52543,4.20672,510,-8.106579667,12.83726978,8.810774,9.06109,6.509,2.727936,13.28139924,0.41934,92.098,48.8562092,0.143596066,17.41251749,47.77119,20.70166334,0.33,6.2
Lebanon,0.768897837,37.67666667,11.978,100,3.316924672,4.674540418,4.625954161,56.97,111.8819224,187.6073054,3.183333333,5.433333333,100,13.7537,138.6929,0.6,6.829242,13.39784946,95.52014106,24.34,0.384790712,23.17665965,14.72341449,74.26113575,16622.93548,27.875186,16509.27721,0,2.2,7.8,1274,6.88766,74.7,27.43333333,79.3,1.2,16,7.917283708,88.35,0,21.3,32,0.341734893,1.228701222,54.15014,101.63892,113.45181,6.71228,118,-6.546601,2.572679996,7.174523,12.04695,4.238,17.72973,3.342120984,0.42791,75.04578,3.125,17.62186044,19.01218398,47.92795,15.48357987,1.5,9.1
Costa Rica,0.765746905,48.61,60.794,100,2.881564228,1.655602109,3.37753511,239.34,115.3331981,56.46947838,3.24,7.6,99.5,13.86196,73.88747,2.2,6.518283,51.91147669,48.26391813,2.08,0.349238581,3.850980339,17.93139451,65.43681041,13430.74321,20.9719865,13413.37683,0,8.5,8.4,2428,-0.05976,49.41,60,79.4,11.2,38,8.367648125,143.83,0.763435969,2.7,11.13,9470.099486,1.337190054,50.59686,77.24978,103.31134,12.27982,314,-9.706444,6.866449833,9.868729,16.42801,0.463,1.201907,51.80445878,0.47641,108.91868,33.3333333,8.611611345,15.07130361,47.5956,13.64160141,0.8,9.6
Iran,0.765590711,38.28,31.614,99,2.888831653,7.777322503,0,22.85,213.9536482,18.01379986,4.47,13,100,15.09423,53.71718,3.6,0.8267577,6.800528077,99.51631123,12.87666667,0.514622127,-4.330164801,11.17889894,1168.681422,15090.04722,25.7575748,15439.80435,9.104759852,4.1,14.4,4769,-0.98436,39.35,27.43333333,75.4,6.7,23,8.17,87.79,17.6281004,-0.8,8.9,1467.395936,25.10922472,65.07835,37.80181,118.55717,3.82423,284,0.861679333,3.679909945,6.688835,25.65459,76.422,0.2516494,0.686866501,0.7488,86.27669,3.1034483,3.421062472,19.34767938,55.16453,8.448795853,2.9,16.8
Venezuela,0.7622524,44.77,83.222,81,-0.266530597,6.400457516,-12.15968939,0.57,214.6947406,52.46847872,4.52,12.8,100,14.21738,50.40357,1,1.606266,51.81089507,88.85243796,1.71,0.475898794,3.342717649,12.19195867,535.5755048,17614.59821,20.310255,16158.95596,12.81110733,53.7,12.9,986,-0.50395,57,27.43333333,74.2,4.3,110,8.896468623,98.95,10.01873523,0.3,19.39,545.1421274,1.871314101,53.67144,75.50814,102.40588,4.87667,161,-1.247882,6.874670029,3.445115,17.56734667,8.419,0.0309479,11.1780688,0.42791,92.95358,16.969697,3.852402649,21.46414258,77.90962,15.51372892,2.4,14.9
Turkey,0.761120293,40.04,30.923,94,4.201025103,4.391547759,19.54132233,7.57,124.6263079,84.29383896,3.79,12.9,100,14.54396,57.85201,4.2,1.559719,15.03527669,89.50950558,12.14333333,0.358838355,6.189500501,15.05241995,1398.252884,18660.13082,20.3214746,18677.13032,45.45508614,2.6,16.5,37800,0.18938,51.04,19.7,75.3,11.8,20,7.560710907,94.79,0.327907592,0.9,17.11,216.5608483,5.494165807,49.38733,30.62929,100.03322,9.97535,179,-4.074148,2.862469912,5.59013,20.13204,65.9,0.1380552,10.27687166,0.85952,86.10934,14.4160584,2.488753866,17.58913991,69.38549,20.37734274,0.52,19.2
Sri Lanka,0.756658911,36.4,16.898,97,3.051562374,0.72992084,-22.09361703,30.34,122.69845,48.43082424,6.88,8.3,88.7,13.71335,54.4737,12.8,1.362821,29.19470579,48.65767072,24.53,0.369751852,5.51603088,13.11169063,193.0673788,9425.737383,29.2447085,9778.605247,5767.024715,3.4,8.2,1275,-5.10911,25.8,38.4,74.9,46.4,29,10.8,103.16,0.402924189,-3,6.8,46647.70741,21.06065205,74.02556,88.69307,98.44019,3.42509,132,-4.40052,1.72397995,3.244492,24.4299,123.027,9.559383,51.34233888,0.15664,99.33851,5.7777778,1.5276337,16.18009045,16.96746,11.99320157,1.1,9.6
Mexico,0.756207912,48.07,63.39,93,1.942618956,3.908712496,-8.250558388,15.51,111.7569034,49.51982351,3.74,4.7,99.1,13.06026,64.15951,1.7,3.338323,33.17554464,90.10370985,17.21,0.37281121,1.137379288,11.8729031,1992.894187,16290.8126,21.0499383,16055.96891,319.1137558,21.5,12.5,24200,-0.57867,44.39,46.7,76.8,7.1,49,8.468326569,82.54,6.391839981,-2,20.95,9881.927415,3.835616876,57.98388,101.39244,105.02204,4.24733,210,-5.983051,5.14620018,6.237916,28.01636,9.401,1.825855,9.855558511,0.42869,85.68148,37.1019108,0.902017788,21.91630459,28.99449,16.46192958,1.8,14.5
Brazil,0.755291956,52.67,70.794,93,2.702940361,2.231257237,-10.38652562,58.73,119.3673758,110.1084144,2.61,4.4,99.5,15.19340264,27.5911,2.5,3.599945,61.63251633,54.56668309,0.86,0.456865874,1.974289847,21.97252114,2916.284287,14555.0822,18.1830472,15174.96721,52.77375334,25.2,12.3,5813,-0.20734,57.6,38.8,74.5,9.4,69,7.66,138.95,3.84130758,-0.2,18.91,4505.646762,7.858502737,53.59817,69.02112,136.27055,19.37534,274,-4.149318,5.822249889,9.66039,20.51712,1.002,0.1129779,44.2481259,1.20964,105.48278,9.5959596,0.299297384,26.51247273,25.52885,15.42163032,2.5,13.7
Georgia,0.754118641,41.35,46.799,100,3.563738895,1.769150524,-1.504857851,93.81,106.9685008,42.90612736,6.453333333,7.5,100,13.79685,102.3306,1,5.925159,39.38955245,72.80037418,2.88,0.381596771,8.288507774,16.6820472,31.09760348,6946.235896,21.9489833,7164.025639,136.5315422,4.3,11.7,5392,-5.75187,48.9,9.1,74.9,5.7,41,12.11,124.94,0.66357442,-5.8,42.36,3300.923097,1.913552467,54.75734333,57.86627,103.09711,0.17955,225,-4.910562,1.983309984,9.432717,9.09457,6.835,12.05254,28.29928347,0.17658,100.62453,11.3333333,4.374512629,35.24127965,33.05094,24.11828496,4.5,13.1
Saint Kitts and Nevis,0.751862282,30.99666667,47.91466667,97.66666667,7.281411532,5.053538729,-4.73E-09,-4.21,109.3671115,65.90815024,2.86,6.333333333,90.9,12.87516,87.68176,2.833333333,14.46589,42.30769231,83.19251088,51.25,0.25356237,0.525454464,19.22478643,1.122260759,20709.35689,28.7327596,20804.81384,0,33.6,7.8,107,-57.85797,65.4,27.03333333,73.77,27.8,9.333333333,8.387379,139.81,1.34894344,-1,11.67,0,4.067282679,80.23707333,81.64657,84.65616,7.1777,714,-14.02427,4.225759983,6.27812,14.51688,0.015,6.733531,27.27768335,0.487103333,101.2038,6.6666667,10.46852798,9.79660609,18.22618,20.19043068,2.5,10.2
Azerbaijan,0.751139174,33.03,40,94,1.495079444,3.647379147,0.667811936,28.48,111.584763,25.49323521,3.183333333,5.433333333,100,11.94018,75.59377,1,3.56093,11.32376781,97.86252765,34.52,0.303000337,2.199999701,11.21798982,156.2547565,16593.54647,24.5706849,16427.91563,76.87212469,2.1,29.9,2130,-6.58375,61,15,70.8,2.4,26,11.16,110.91,25.96976802,0,34.32,1078.566022,3.836667227,95.46668,24.84914,97.9432,1.81357,413,-2.528612,2.435640097,5.579734,11.92302,10.914,2.356113,2.600981728,0.21084,100.27854,15.5737705,3.440226825,13.59231031,20.4372,12.95582924,4.2,34.2
Grenada,0.74999318,38.66666667,35.358,97.33333333,5.440902645,2.408045758,-1.00E-08,15.33,105.4707113,80.03003262,3.35,7.966666667,90.9,15.80328,75.75223,3.466666667,8.938494,49.97058824,74.65682439,7.05,0.359146799,6.824763186,16.8113622,1.193647527,11271.77849,20.0787156,10939.006,0,13.3,10.7,116,54.10375,37.38,21.1,73.4,3.566666667,23,8.552604,126.53,8.257394436,-8.1,6.63,1578.254145,25.04112007,54.20097667,98.56115,103.37444,5.827973333,424,-10.6466,4.270226558,6.338721,16.05523,0.33,3.547934,11.60086133,0.25696,107.79903,25,10.73401513,16.89794091,52.77318,18.66941695,0.99,11.8
Jordan,0.748328542,33.69,26.473,99,4.109045125,3.601147064,-0.608245108,51.91,115.370623,111.860452,4.5,6.1,99.5,13.50864,113.7838,1.9,5.340056,1.09822032,95.9918514,92.44,0.473382155,-11.39571513,19.65322914,73.67461303,11406.50457,27.22237,11365.21619,0,2,16,3945,3.67022,44,23,74,2.2,50,9.908419609,147.8,0.920974547,11.3,25.58,0,22.01130952,74.11,34.17855,98.43925,2.10094,95,-10.03431,4.773786545,7.22403,19.93241,1.633,10.81603,1.997031829,0.4347,87.82947,11.5555556,40.22354756,13.61810735,46.60965,15.25758585,0.53,18.7
Macedonia,0.74725286,44.2,18.256,100,2.709606612,4.437580862,11.35818828,17.93,110.3393379,52.37837395,5.08,7.9,100,13.35395,126.6503,3.2,4.055383,39.93655829,82.14660415,16.06,0.163635459,-3.554404109,17.52832929,24.46193184,11608.96897,24.8154499,11780.04468,0,1.4,5.8,400,-5.2339,68.06,38.4,75.4,7.3,7,9.2592,109.1,2.651339665,-0.5,26.24,48255.95579,7.106265579,45.11852333,28.57617,89.25404,2.50694,122,-1.614253,3.178513368,6.444246,15.15012,1.759,3.688485,10.43938319,0.21793,82.83081,33.3333333,6.632203186,10.67469354,38.45752,16.70596473,0.82,6.6
Ukraine,0.747005221,24.82,25.671,100,2.015616367,6.262351962,5.213556868,21.33,108.2599837,95.67176252,5.23,3.9,100,15.14135,102.2427,5.3,2.541275,16.84215977,79.63188173,13.78,0.28644056,2.2,19.3599559,387.0261895,8508.014787,18.1682843,8178.067935,7.076657329,4.3,8.6,24700,0.45412,43.4,18.3,71,30.3,23,11.34,144.08,4.598568346,-0.2,35.31,943.7770379,6.225041002,93.55,83.00561,105.46582,0.64571,305,-7.251269,6.661180019,7.771187,16.48785,6.343,5.448327,20.71150765,0.73662,98.86345,11.8483412,11.38707797,11.80775024,78.99662,18.23127637,13,10
Algeria,0.735623767,38.81666667,10.033,99,3.762173496,3.22420156,-11.55368916,3.73,117.5218381,3.012285739,5.11,5.5,100,13.96534,63.42136,1.5,0.8037201,0.619043221,99.88756809,24.41333333,0.413117859,80.44933374,18.90485754,505.5089905,12892.94249,33.7992801,13054.30628,11.95267392,0.7,21.6,2634,-1.06117,18.09,29.16666667,74.8,2.3,89,7.611,93.31,18.00590415,-0.3,12.07,343.3785896,28.83718384,28.86,78.84144,117.40774,7.23248,162,-1.027556,4.33701992,6.635026,23.15942,3.691,0.0997417,0.141610925,0.06604,97.60729,25.7425743,0.689669613,60.20229892,31.46411,37.36184931,15,25.2
Peru,0.734203129,45.33,50.748,96,0.922824211,1.791964427,-3.512172872,20.56,110.1653876,22.00566255,3.87,3.4,91.2,13.0655,48.36413,2.1,4.595051,52.884375,75.98294021,0.72,0.405915232,6.650711677,11.19202014,346.1753476,11396.49302,26.6083672,11015.23763,196.346675,9.6,12.9,3164,-0.527133333,40.2,38.9,74.6,4.4,89,9.013469696,102.92,5.732600927,-2,11.32,13407.90806,0.738200294,61.10963,85.99934,101.64671,26.11487,202,-7.079139,3.277960062,5.317889,18.08394,4.768,1.337904,24.01455763,0.545293333,93.9782,22.3076923,0.345405489,33.95868642,40.64798,16.54473209,5.1,16.7
Albania,0.732765803,28.96,15.297,99,-0.280486216,1.60703771,-1.898605839,34.9,107.5972351,66.89409825,6.43,10.3,100,11.82,87.93716,5.2,9.701772,28.24890511,60.52689585,4.34,0.217395947,0.061767661,10.68921529,28.86049099,10405.35149,26.1504619,9942.855635,7.103503508,5,13.3,2857,-12.14132,60.1,43.76666667,77.8,6.6,21,9.255580902,105.47,3.533720948,-3.2,11.45,20567.79977,5.739703969,84.76527,70.59945,99.51508,1.33296,158,-8.312282,3.268680096,5.882328,19.12103,10.52,8.464771,26.56383378,0.15308,82.39508,20.7142857,3.050417062,18.68343126,55.50096,19.63069867,0.31,14.9
Armenia,0.732982583,30.3,27.118,100,3.563738895,1.67383608,-26.89075611,57.01,116.7987006,46.00499254,8.87,11.9,100,12.31785,75.03648,0.9,3.548608,8.907622058,71.54126243,37.86,0.317574186,16.30000001,14.46393506,22.40412537,7526.836419,20.9266618,8123.557691,0,1.8,14,1084,-2.61963,46.3,9.5,74.7,5,29,10.87,115.92,2.158069193,-3.4,26.87,2549.428299,9.577000408,94.47,46.21356,102.40343,4.38289,164,-9.975223,2.250149965,4.519753,19.3076,12.224,21.01379,32.66394123,0.27014,96.59027,10.6870229,10.64988984,21.31431815,46.10862,18.65348248,6.3,15.6
Bosnia and Herzegovina,0.732530326,33.04,15.108,100,2.709606612,6.185334807,-1.131221712,7.99,105.7083333,67.680783,4.82,6.3,100,13.6,85.02369,4.1,1.764679,42.84313726,93.91646937,0.88,0.200654239,-0.466983341,22.76307955,35.94704519,9387.350031,17.8837766,9637.776782,0,1.3,5.7,529,-3.16499,60.8,46.9,76.5,18,8,8.3262129,91.28,11.92596749,-0.3,16.94,27578.42544,6.088298586,56.83266,75.82901,97.30084333,17.22785,78,-1.143518,4.800336758,9.625997,17.09921,22.342,10.80434,7.888293396,0.02171,85.88466,19.2982456,0.605775405,6.710965858,41.95797333,20.86616416,5.2,6.6
Ecuador,0.731674443,46.57,77.032,90,3.922678498,2.34333293,-23.60336345,15.78,112.8105507,29.6494927,3.39,5.7,97.2,14.17201,60.81707,5.3,0.7674718,38.12932839,86.28549413,2.17,0.407268764,7.727259997,14.09402289,165.8875797,10540.65737,27.8523688,10604.89264,98.26738181,12.4,19.1,1364,-1.3167,43,46.3,75.9,13.2,87,7.585,103.9,8.641467102,-0.4,16.87,6001.917914,1.640018639,39.77,166.67002,112.40354,11.0995,149,0.1956072,4.358260155,6.395048,18.70906,0.7,2.60266,12.86325172,0.22779,103.28416,41.6058394,2.283122286,19.56784992,40.51432,17.55778296,2.7,22.5
Saint Lucia,0.729056449,51.73,56.309,92,4.202712436,2.270512241,7.305936071,-5.27,108.6387228,123.0823643,3.44,12.3,90.9,12.567,97.20478,3.066666667,6.25223,77.04918033,61.19161188,14.3,0.38605805,6.917001473,14.81770831,1.850350309,10151.53264,23.344663,9764.840456,0,21.6,12.7,319,-31.52455,51,31.23333333,75.1,7.633333333,34,9.344302952,102.59,0.05106806,0,4.73,115689.6014,13.26317819,40.40914,59.95391,100.29595,10.42671,317,-13.2941,4.700260162,8.5,16.66479,0.711,2.256905,26.75522448,0.1682,88.38511,20.6896552,6.682284266,27.12657469,13.85194,23.04105473,1.2,14.5
China,0.727494941,37.01207517,8.551,96.33333333,6.534991351,6.710301991,35.1580446,66.87,111.0535416,162.9629644,3.25,8.1,100,13.07282,50.2602,8.7,3.764487,22.62276381,88.30257161,19.51,0.190685514,8.178779165,14.05973594,15643.21744,11524.56751,47.3020355,12547.03385,212.2504415,1,10.9,55700,-1.80617,49.3,31.23333333,75.8,7.1,32,7.54,92.27,4.193831585,-0.2,14.56,73314.19043,8.572817355,65.33,69.91338,127.85205,24.34323667,121,-2.657049,6.303089937,5.567502,18.20779,205.007,0.4201049,11.737611,1.98305,88.978,23.6228456,0.060225227,24.90310597,26.7,10.63619518,3.2,12.7
Fiji,0.727135774,42.83,42.847,97.66666667,1.145220192,1.423838114,7.125616533,31.57,115.6508393,121.7583008,5.13,8.3,59.3,15.7,136.3714,4.1,4.104073,55.87301587,71.43402406,18.35333333,0.4181164,6.768473751,15.04924022,6.609582607,7501.81043,21.1145453,7492.511041,0,4,20,658,20.10483,41.8,20.13333333,70,10.6,59,9.91218949,98.78,1.722241759,-6.6,4.26,9681.092595,12.54184593,64.32,17.83674,104.6438,3.49117,174,-14.06903,4.19645977,4.131533,27.99728,1.115,5.280879,45.96556421,0.218356667,88.25067,14,2.590955264,32.48737553,16.14878,23.18702332,1.7,23.6
Mongolia,0.726620589,36.52,18.706,99,3.726992257,6.927361359,-14.37460115,24.83,136.7223215,63.63129305,4.78,16.7,89.8,14.59402,112.1687,3.7,18.6768,6.909292206,95.3736789,1.58,0.325352696,-25.04085129,11.27385132,25.92728255,9132.305704,44.1633181,10729.38361,0,9.7,26.4,418,-3.9012,27,46.9,69.4,16.3,68,9.28,105.06,19.75079587,-1.1,27.63,29190.3142,31.46142946,84.8,85.77061,108.83741,9.10258,287,-16.96144,5.476170063,6.009265,27.58707,2.068,2.22059,4.068468111,0.27392,91.57522,14.8648649,0.60671212,11.558678,62.26881,18.23573188,7.2,31.8
Thailand,0.725836139,39.37,41.004,99,8.019704151,4.556738121,-2.800143241,45.15,109.2750063,173.3002095,4.52,2.8,100,13.47211,143.8481,4.5,3.26654,37.19313355,80.43860057,13.07,0.37961973,4.890969123,13.81211913,933.5776805,13931.81147,26.7328563,13322.89654,24.47964662,5,11.3,26500,-0.24691,34.89,43.8,74.4,19.1,26,7.322291851,144.44,4.725901082,0.3,3.93,70700.71654,16.95396776,38.12426,118.51953,92.84907,17.41154667,398,0.3660696,7.568950176,4.57427,16.28069,0.241,1.469269,18.9091144,0.25056,86.98294,6.0913706,5.553957796,36.23018006,51.23354,16.50216084,14,13.1
Dominica,0.723788309,40.34666667,69.189,97.33333333,5.214938385,1.74616602,-11.8,-8.14,103.7286326,61.86780395,4.113333333,5.433333333,92.7,12.65283,81.00359,3.466666667,3.467566,58.8,63.67490929,10,0.341457284,2.618800527,19.06810036,0.720848345,10011.36543,12.0430108,9993.854762,134.7364639,21.1,10.2,78,-4.5629,62.86,41.23333333,77.763,14.6,63.33333333,7.85923,127.45,0.101429738,-1.633333333,15.9,10905.23255,3.208362467,48.90412667,99.15074,118.27358,13.56978,391,-0.3196384,5.071229935,5.950643,14.84121,0.043,4.558284,42.84408733,0.226733333,96.7296,21.875,8.914906323,16.17312073,23.44706,21.77697842,2,11.4
Libya,0.724464011,37.67666667,2.523,97.33333333,-2.831748776,6.39342247,0,0.79,125.7112887,-51.09426611,3.27,4.733333333,100,14.03684,94.84997,1.4,0.9460977,0.123327688,98.73854426,12.87666667,0.134026357,2.168363854,9.3,126.3325326,20371.21741,27.9,14910.916,0,1.7,12.4,34,-2.740043333,17.76,27.43333333,71.6,2.2,15,7.31,161.12,23.46933512,-7.7,19,33.52464507,8.458206104,48.46,10.09786,114.40303,3.391103333,81,3.476302,5.681360007,4.298793,17.56734667,3.353,0.0283264,1.289179297,0.42791,104.30109,15.9574468,12.19013852,14.64319771,60.87731,15.37917316,6.8,14.5
Tunisia,0.721191132,35.79,4.602,99,3.916208279,2.402455639,61.55520996,37.85,115.9833549,83.44397876,3.86,4.7,100,14.62357,103.1496,1.4,2.252695,6.686405767,85.25248663,69.71,0.240428433,2.764591334,18.9775771,117.2219311,10767.64168,20.2356239,10404.49747,0,2.2,13.1,6269,-3.15745,46.16,27.09,74.8,3.4,46,6.837558,128.49,4.608209968,-0.6,12.22,61.53472424,36.70917595,39.27293,40.02425,110.28628,5.86855,199,-2.422967,6.223509789,7.079837,17.43043,1.368,4.874094,14.7746606,1.10218,90.60091,31.3364055,0.33215978,26.69232361,35.19931,21.03704878,2.9,15.2
Colombia,0.7201704,53.53,68.537,97,0.468712931,1.538341298,-3.55411955,22.85,108.8551742,70.14659968,2.74,4.5,97,13.54554,38.03376,1.9,4.280588,54.34610185,75.59274364,0.5,0.428534838,5.800036348,16.7009108,581.0835168,12025.38537,24.5033422,12040.24866,27.31916143,30.8,14.5,2288,-0.527133333,52.57,37.4,74,9.1,83,7.349983663,113.08,9.24499171,-0.5,14.71,18001.02782,2.008246565,56.29694,48.64557,114.91374,15.28811,245,-4.102348,4.929749966,6.811924,24.77293,108.479,1.088617,24.824841,0.17267,92.95644,20.8955224,0.268270345,19.73047854,48.32628,13.24817963,1.6,16.9
Saint Vincent and the Grenadines,0.720035388,42.74333333,54.508,99.33333333,6.338599005,2.179604415,6.166007908,-5.14,106.7196293,58.42905189,3.4,4.8,75.9,13.42416667,87.23986,4.566666667,17.86615,68.87179487,63.67490929,7.9,0.44101636,15.35130703,18.49840683,1.110582627,10154.08398,24.9337964,9937.269491,549.5013733,25.6,17.2,72,-3.541593333,56.48,43.76666667,72.9,13.86666667,45,8.621687,105.16,0.070130996,-9.1,5.25,22279.53318,7.522704362,58.35386333,78.22888,105.24321,31.42725,376,-19.94154,5.083330154,5.2,15.29101,1.535,4.452998,21.04535164,0.438823333,102.9007,13.0434783,9.380742962,24.51923077,43.54119,23.00309399,2.6,19
Jamaica,0.718529602,45.51,70.057,98,0.233537961,2.872655693,-2.420197338,-4.96,125.6885016,51.44572078,4.96,7,92.6,12.35561,83.40987,0.7,4.635752,31.04893814,82.09958938,7.5,0.429960658,0.275747186,16.31390074,23.367069,8606.65525,19.6559618,7414.602613,43.38478764,39.3,14.3,2008,-4.5629,40.5,35,75.7,1.8,80,9.67,102.92,0.812211692,-5.8,4.11,13247.88088,3.322202329,72.19,91.55293,92.28969,13.92094,152,-5.482361,6.256199837,5.816326,21.27636,1.506,15.04614,17.90044324,0.396863333,77.79787,16.6666667,1.253893835,32.98157006,28.73793,27.06831253,0.22,16.6
